Индекс,Исходное,Норм. вручную,Норм. sklearn,Разница,Масшт. вручную,Масшт. sklearn,Разница
312,1313.000000,0.081049,0.081049,0.000000,1.038148,1.038148,0.000000
313,1556.000000,0.096049,0.096049,0.000000,1.347606,1.347606,0.000000
314,550.000000,0.033951,0.033951,0.000000,0.066473,0.066473,0.000000
315,647.000000,0.039938,0.039938,0.000000,0.190002,0.190002,0.000000
316,839.000000,0.051790,0.051790,0.000000,0.434512,0.434512,0.000000
317,362.000000,0.022346,0.022346,0.000000,-0.172943,-0.172943,0.000000
318,184.000000,0.011358,0.011358,0.000000,-0.399625,-0.399625,0.000000
319,1656.000000,0.102222,0.102222,0.000000,1.474955,1.474955,0.000000
320,929.000000,0.057346,0.057346,0.000000,0.549127,0.549127,0.000000
321,1111.000000,0.068580,0.068580,0.000000,0.780902,0.780902,0.000000
322,257.000000,0.015864,0.015864,0.000000,-0.306660,-0.306660,0.000000
323,199.000000,0.012284,0.012284,0.000000,-0.380523,-0.380523,0.000000
324,100.000000,0.006173,0.006173,0.000000,-0.506598,-0.506598,0.000000
325,65.000000,0.004012,0.004012,0.000000,-0.551170,-0.551170,0.000000
326,229.000000,0.014136,0.014136,0.000000,-0.342318,-0.342318,0.000000
327,721.000000,0.044506,0.044506,0.000000,0.284240,0.284240,0.000000
328,723.000000,0.044630,0.044630,0.000000,0.286787,0.286787,0.000000
329,429.000000,0.026481,0.026481,0.000000,-0.087619,-0.087619,0.000000
330,2301.000000,0.142037,0.142037,0.000000,2.296358,2.296358,0.000000
331,100.000000,0.006173,0.006173,0.000000,-0.506598,-0.506598,0.000000
332,315.000000,0.019444,0.019444,0.000000,-0.232797,-0.232797,0.000000
333,416.000000,0.025679,0.025679,0.000000,-0.104175,-0.104175,0.000000
334,412.000000,0.025432,0.025432,0.000000,-0.109269,-0.109269,0.000000
335,494.000000,0.030494,0.030494,0.000000,-0.004842,-0.004842,0.000000
336,491.000000,0.030309,0.030309,0.000000,-0.008663,-0.008663,0.000000
337,1915.000000,0.118210,0.118210,0.000000,1.804790,1.804790,0.000000
338,255.000000,0.015741,0.015741,0.000000,-0.309207,-0.309207,0.000000
339,1133.000000,0.069938,0.069938,0.000000,0.808919,0.808919,0.000000
340,179.000000,0.011049,0.011049,0.000000,-0.405992,-0.405992,0.000000
341,1008.000000,0.062222,0.062222,0.000000,0.649733,0.649733,0.000000
342,642.000000,0.039630,0.039630,0.000000,0.183634,0.183634,0.000000
343,852.000000,0.052593,0.052593,0.000000,0.451068,0.451068,0.000000
